user_id,n_sessions,n_programmes_watched,n_episodes_watched,top_3_programmes,top_3_genres,total_genre_comedy_consumption_seconds,total_genre_drama_consumption_seconds,total_genre_entertainment_consumption_seconds,total_genre_sport_consumption_seconds,total_genre_other_consumption_seconds,total_genre_factual_consumption_seconds,total_channel_ITV_consumption_seconds,total_channel_ITV2_consumption_seconds,total_channel_ITV3_consumption_seconds,total_channel_ITVBe_consumption_seconds,total_channel_ITV4_consumption_seconds,total_watch_morning_consumption_seconds,total_watch_afternoon_consumption_seconds,total_watch_dinner_consumption_seconds,total_watch_night_consumption_seconds,total_platform_tv_consumption_seconds,total_platform_mobile_consumption_seconds,total_platform_desktop_consumption_seconds,n_devices_watched_on,total_weekend_consumption_seconds,total_consumption_seconds,any_spy_among_friends_consumption,top_3_subgenres,age,gender
#ERROR!,88,31,71,"['WORLD CUP', 'CORONATION STREET', 'THE MOTORBIKE SHOW']","['DRAMA', 'FACTUAL', 'SPORT']",0.0,44740.8363751,14741.8810158,21813.686316588002,3746.0,15194.383,7101.0180332388,69.48400000000001,407.71003751,1325.934,974.7326,20721.626538800003,16172.921060955,54245.059107733,9097.18,68075.810754,23937.696359488004,8223.279594,10.0,26210.929569493004,100236.78670748802,True,"['LONG RUNNING DRAMA', 'FOOTBALL', 'EVENT']",30.0,Other
+1FV4TIbF3C+E+1XgRBOO/qBstZGp0kwd+XnbMk1fzM=,13,5,7,"['WITHOUT SIN', 'EMMERDALE', 'CORONATION STREET']",['DRAMA'],0.0,10650.877,0.0,0.0,0.0,0.0,908.9524000000001,0.0,0.0,0.0,0.0,0.0,7309.58,3341.297,0.0,10650.877,0.0,0.0,1.0,1561.353,10650.877,True,"['CRIME AND THRILLER', 'LONG RUNNING DRAMA', 'CRIME']",33.0,Female
+ApnntNc0A0YLwC2Op4liNRk2si/i9BWsLhUfeAd5PU=,26,7,15,"['WORLD CUP', ""I'M A CELEBRITY... GET ME OUT OF HERE!"", 'LOVE ISLAND']","['ENTERTAINMENT', 'SPORT', 'DRAMA']",65.06778297,12189.134999999998,11231.665042290002,29174.25709557,0.0,0.0,4269.1133218859995,673.8141701970001,0.0,0.0,0.0,0.0,0.0,39088.831854289994,13571.293066540002,52660.12492083001,0.0,0.0,1.0,7201.881194,52660.12492083001,True,"['FOOTBALL', 'EVENT', 'CELEBRITY']",33.0,Male
+B/+uicTlNNsFSPvH+9KTjNx9SkITjca2YdnZNg+dHo=,39,8,22,"['A SPY AMONG FRIENDS', 'A CONFESSION', 'WITHOUT SIN']","['DRAMA', 'ENTERTAINMENT', 'OTHER']",0.0,78194.43,286.3535383,0.0,4.65850393,0.0,1132.379704223,0.0,2431.0118,0.0,0.0,3012.4405383,13933.152503930001,36104.811,25435.037999999997,78485.44204222999,0.0,0.0,2.0,0.0,78485.44204222999,True,"['CRIME AND THRILLER', 'BASED ON A TRUE STORY', 'CELEBRITY']",36.0,Prefer not to answer
+BpTxKOa0+Izi64SIzkp6gUenGFHfwrxsZNoHchngDo=,67,18,47,"['WORLD CUP', 'FEARLESS', 'THE WALK-IN']","['SPORT', 'ENTERTAINMENT', 'DRAMA']",0.0,17670.600000000002,11802.851738209,144107.08960609994,0.0,3408.626,17672.755734430895,0.0,0.0,0.0,0.0,18512.082653942998,25081.574436146,108080.54323275002,25314.967021470005,,0.0,0.0,1.0,70648.5916638,176989.16734430892,True,"['FOOTBALL', 'EVENT', 'CRIME AND THRILLER']",32.0,
+DYiONWpxJsu8TOV/jnMqVPnnrO2QAPQllNm/qra2Sc=,231,40,118,"[""AGATHA CHRISTIE'S POIROT"", 'LEWIS', 'MIDSOMER MURDERS']","['DRAMA', 'OTHER', 'FACTUAL']",0.0,161906.93391070009,2.870457441,0.0,24094.243,2985.306,1795.0977457441002,389.63590000000005,13556.54889107,774.4517000000001,0.0,0.0,407.954,17486.552457441,171094.84691070003,188989.3533681411,0.0,0.0,1.0,68043.45445744101,188989.3533681411,True,"['CRIME AND THRILLER', 'PERIOD AND HISTORICAL', 'CONTEMPORARY BRITISH']",39.0,Male
+Ni+NSzcfeaq/mjIME1uPYPbSt0xKnF5KaSHtJyKmGU=,7,7,7,"['A SPY AMONG FRIENDS', 'DOC MARTIN CHRISTMAS SPECIAL 2022', 'MATERNAL']","['DRAMA', 'FACTUAL']",0.0,15056.884999999998,0.0,0.0,0.0,713.752,1505.0353,0.0,0.0,0.0,0.0,0.0,0.0,15770.636999999999,0.0,15770.636999999999,0.0,0.0,1.0,3457.531,15770.636999999999,True,"['CRIME AND THRILLER', 'FACTUAL', 'BASED ON A TRUE STORY']",45.0,Male
+PDN5TuwsCX8wkJn7zYn8Xuam7dH4MNfeywFIX53f80=,34,6,14,"['A SPY AMONG FRIENDS', 'STONEHOUSE', 'KAREN PIRIE']","['DRAMA', 'OTHER']",0.0,37373.851,0.0,0.0,48.108,0.0,1471.2941000000003,0.0,8.7875,0.0,0.0,4779.086,24677.722999999998,5628.539,,37421.959,0.0,0.0,1.0,6708.169,37421.959,True,"['CRIME AND THRILLER', 'CRIME', 'DRAMA']",34.0,Prefer not to answer
+Qg/adIna+sibzR5J4ETJKlDua/R90NjS0EPQrkSLkw=,4,1,1,['A SPY AMONG FRIENDS'],['DRAMA'],0.0,1583.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.265,1583.265,0.0,0.0,2.0,0.0,1583.265,True,['CRIME AND THRILLER'],47.0,Male
+UqyrSurCKY8iR+ekjkL5OG1qpWHfQ8TmSwpfBmC7+U=,6,3,4,"['A SPY AMONG FRIENDS', 'BRITAIN GET SINGING', 'RICHES']","['DRAMA', 'ENTERTAINMENT']",0.0,9573.944,3528.06,0.0,0.0,0.0,609.9952000000001,0.0,0.0,0.0,0.0,3528.06,2571.892,5753.582,1248.47,13102.004,0.0,0.0,1.0,3528.06,13102.004,True,"['CRIME AND THRILLER', 'MUSIC PROGRAMMES', 'DRAMA']",37.0,Male
+gpq8zG5ezcYspzZsez6P7eUoISsmL1mKAr9AtskpNE=,8,8,8,"['SECRET DIARY OF A CALL GIRL', 'NINJA WARRIOR UK: RACE FOR GLORY', 'A SPY AMONG FRIENDS']","['DRAMA', 'OTHER', 'ENTERTAINMENT']",0.0,8730.206,247.3605173,0.0,6435.461,0.0,518.1935517300001,129.833,0.0,0.0,0.0,522.193,247.3605173,1298.33,13345.144,,0.0,0.0,1.0,522.193,,True,"['CONTEMPORARY BRITISH', 'DRAMA', 'CRIME']",29.0,Female
+hdlDTDV2sPLpX23y+Oa9+fohKiN9geP/UbbtkRq/uo=,11,3,10,"['A SPY AMONG FRIENDS', 'LITVINENKO', 'CARRY ON EMMANNUELLE']","['DRAMA', 'OTHER']",0.0,28364.0,0.0,0.0,2696.0,0.0,836.3000000000001,0.0,0.0,0.0,0.0,0.0,2806.0,8786.0,19468.0,31060.0,0.0,0.0,1.0,8363.0,31060.0,True,"['CRIME AND THRILLER', 'BASED ON A TRUE STORY', 'COMEDY']",35.0,Male
+iZ18v1gjAT8XlN8o1j4K5LYh//Y+l1H0W4qZO4YsBc=,15,4,12,"['A SPY AMONG FRIENDS', ""I'M A CELEBRITY... GET ME OUT OF HERE!"", 'THE LARKINS']","['DRAMA', 'ENTERTAINMENT']",0.0,20077.092123199996,12050.0,0.0,0.0,0.0,1223.42841232,0.0,0.0,0.0,0.0,0.0,0.0,13948.604123199999,18178.488,32127.092123199996,0.0,0.0,2.0,18095.0061232,32127.092123199996,True,"['CRIME AND THRILLER', 'CELEBRITY', 'DRAMA']",29.0,Male
+izg+rfrw/wll1YoQZTDoP70Y3n2XYXTzPNUA12/0qA=,10,6,8,"['WITHOUT SIN', 'TONIGHT', 'THE REAL STONEHOUSE']","['DRAMA', 'FACTUAL']",0.0,13759.505000000001,0.0,0.0,0.0,5523.0,1619.0724,0.0,134.9781,0.0,0.0,0.0,5847.781,13434.724,0.0,19282.505,0.0,0.0,1.0,1349.781,19282.505,True,"['CRIME AND THRILLER', 'CURRENT AFFAIRS', 'NEWS']",26.0,Female
+p3cMu9llARs9NGy0TbAYS6OVJJsm1F2mRxLs+CISwM=,3,2,3,"[""DICKINSON'S REAL DEAL"", 'A SPY AMONG FRIENDS']","['OTHER', 'DRAMA']",0.0,1036.617,0.0,0.0,26.9192319,0.0,2.6919231900000002,0.0,0.0,0.0,0.0,0.0,26.9192319,1036.617,0.0,1063.5362319,0.0,0.0,2.0,1036.617,1063.5362319,True,"['FACTUAL', 'FAMILY', 'HOBBIES AND INTERESTS']",29.0,Male
+x1ryVTuERlaS7I7lZnnuso82XOjWm+0f/2kqjtUWpU=,38,15,25,"['CELEBRITY CATCHPHRASE', 'RICHES', 'THIS MORNING']","['ENTERTAINMENT', 'DRAMA', 'OTHER']",0.0,20435.845,7512.011193766,0.0,9102.522199385,1401.131,3701.6843393151007,0.0,0.0,0.0,0.0,816.549390199,15868.246999585,18127.854003366996,3638.8590000000004,38451.509393151005,0.0,0.0,2.0,14312.239941952,38451.509393151005,True,"['QUIZ AND GAME SHOWS', 'CELEBRITY', 'DRAMA']",36.0,Male
/09nMUVrgZYr1XP3hdR442k8nui5xd0oWBLhDdeCLAw=,11,2,7,"['A SPY AMONG FRIENDS', 'WORLD CUP']","['DRAMA', 'SPORT']",0.0,12362.023,0.0,579.084754032,0.0,0.0,57.9084754032,0.0,0.0,0.0,0.0,1365.575,4167.084,720.241754032,6688.207,,0.0,0.0,1.0,1303.964,12941.107754032,True,"['CRIME AND THRILLER', 'FOOTBALL', 'EVENT']",33.0,Female
/2QvLMO9h/46HxULonY/aJuIDnznsxcntK6Wp4+iD6U=,12,3,12,"['WORLD CUP', 'A SPY AMONG FRIENDS', ""I'M A CELEBRITY... GET ME OUT OF HERE!""]","['SPORT', 'ENTERTAINMENT', 'DRAMA']",0.0,9776.657000000001,4354.497792,33876.9500329,0.0,0.0,3823.1447824899997,0.0,0.0,0.0,0.0,0.0,7868.33735,37007.559474899994,3132.208,,0.0,0.0,1.0,2117.43,48008.1048249,True,"['FOOTBALL', 'EVENT', 'CELEBRITY']",40.0,Female
/8MnVTgFJXXXOm/FCjmGb9jwX6IUlHEUWbR1oPuWH4U=,121,37,133,"['WORLD CUP', 'LORRAINE', 'THIS MORNING']","['ENTERTAINMENT', 'SPORT', 'DRAMA']",0.0,46262.5405885,110850.09923778198,88380.24110166299,21744.300105092003,2888.84190811,26213.1974632175,0.0,0.7764488942000001,49.57278200300001,0.0,91552.036703162,30909.008214123,90140.07042190198,57524.90760195999,270126.022941147,0.0,0.0,1.0,42881.07673416001,,True,"['CELEBRITY', 'CHAT AND MAGAZINE', 'FOOTBALL']",43.0,Male
/Ae5OEjxjbsKjMt4vA3ZxlL+EnXAWedRiWDAtQfa2rM=,107,20,64,"['CORONATION STREET', 'BENIDORM', 'GEORGE AND MILDRED']","['DRAMA', 'COMEDY', 'ENTERTAINMENT']",1918.138,55201.19900000001,2883.377758799,18.22491781,3465.307,0.0,5499.0221676609,148.91140000000001,367.8795,0.0,9.859800000000002,3513.546129209,34431.628874,24277.9106734,1263.161,63486.24667660901,0.0,0.0,3.0,17900.96362959,63486.24667660901,True,"['LONG RUNNING DRAMA', 'SITUATION COMEDY', 'CLASSIC COMEDY']",24.0,Male
/AuEBXD9lpplBXtrGjzjavr6vrOzXxdrAZgDm41C3Es=,4,3,4,"['THE REAL HOUSEWIVES OF CHESHIRE', 'THE JONATHAN ROSS SHOW', ""I'M A CELEBRITY... GET ME OUT OF HERE!""]",['ENTERTAINMENT'],0.0,0.0,8632.059,0.0,0.0,0.0,510.58149999999995,0.0,0.0,352.62440000000004,0.0,0.0,2699.51,5932.548999999999,0.0,,0.0,0.0,1.0,8632.059,8632.059,False,"['ENTERTAINMENT', 'REAL LIVES', 'SCRIPTED FACTUAL']",33.0,
/CDTrXH8t16xrm7L9F6X4CIhyMETplvUMldInRinFlI=,5,1,3,"[""I'M A CELEBRITY... GET ME OUT OF HERE!""]",['ENTERTAINMENT'],0.0,0.0,5288.987421,0.0,0.0,0.0,528.8987420999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2741.63591,2547.351511,2.0,0.0,5288.987421,False,['CELEBRITY'],31.0,Prefer not to answer
/F+Ht+XG55kwVP9ttZqY+kut+3Ue3X1wueG8b5tcfyU=,4,2,4,"['LOADED IN PARADISE', 'JOHN WICK']","['FACTUAL', 'OTHER']",0.0,0.0,0.0,0.0,3.571327022,3995.4449999999997,0.35713270220000004,399.54449999999997,0.0,0.0,0.0,2724.964,0.0,1270.481,,0.0,3999.0163270219996,0.0,1.0,3.571327022,3999.0163270219996,False,"['ENTERTAINMENT', 'ACTION AND ADVENTURE', 'THRILLER']",28.0,Female
